number |     name     |   hex   |      rgb       |      hsl       
156 |PaleGreen1       |#afff87  |(175,255,135)   |(100,100,76)
157 |DarkSeaGreen2    |#afffaf  |(175,255,175)   |(120,100,84)
158 |DarkSeaGreen1    |#afffd7  |(175,255,215)   |(150,100,84)
159 |PaleTurquoise1   |#afffff  |(175,255,255)   |(180,100,84)
160 |Red3             |#d70000  |(215,0,0)       |(0,100,42)
161 |DeepPink3        |#d7005f  |(215,0,95)      |(33,100,42)
162 |DeepPink3        |#d70087  |(215,0,135)     |(22,100,42)
163 |Magenta3         |#d700af  |(215,0,175)     |(11,100,42)
164 |Magenta3         |#d700d7  |(215,0,215)     |(300,100,42)
165 |Magenta2         |#d700ff  |(215,0,255)     |(90,100,50)
166 |DarkOrange3      |#d75f00  |(215,95,0)      |(6,100,42)
167 |IndianRed        |#d75f5f  |(215,95,95)     |(0,60,60)
168 |HotPink3         |#d75f87  |(215,95,135)    |(340,60,60)
169 |HotPink2         |#d75faf  |(215,95,175)    |(320,60,60)
170 |Orchid           |#d75fd7  |(215,95,215)    |(300,60,60)
171 |MediumOrchid1    |#d75fff  |(215,95,255)    |(285,100,68)
172 |Orange3          |#d78700  |(215,135,0)     |(7,100,42)
173 |LightSalmon3     |#d7875f  |(215,135,95)    |(20,60,60)
174 |LightPink3       |#d78787  |(215,135,135)   |(0,50,68)
175 |Pink3            |#d787af  |(215,135,175)   |(330,50,68)
176 |Plum3            |#d787d7  |(215,135,215)   |(300,50,68)
177 |Violet           |#d787ff  |(215,135,255)   |(280,100,76)
178 |Gold3            |#d7af00  |(215,175,0)     |(8,100,42)
179 |LightGoldenrod3  |#d7af5f  |(215,175,95)    |(40,60,60)
180 |Tan              |#d7af87  |(215,175,135)   |(30,50,68)
181 |MistyRose3       |#d7afaf  |(215,175,175)   |(0,33,76)
182 |Thistle3         |#d7afd7  |(215,175,215)   |(300,33,76)
183 |Plum2            |#d7afff  |(215,175,255)   |(270,100,84)
184 |Yellow3          |#d7d700  |(215,215,0)     |(60,100,42)
185 |Khaki3           |#d7d75f  |(215,215,95)    |(60,60,60)
186 |LightGoldenrod2  |#d7d787  |(215,215,135)   |(60,50,68)
187 |LightYellow3     |#d7d7af  |(215,215,175)   |(60,33,76)
188 |Grey84           |#d7d7d7  |(215,215,215)   |(0,0,84)
189 |LightSteelBlue1  |#d7d7ff  |(215,215,255)   |(240,100,92)
190 |Yellow2          |#d7ff00  |(215,255,0)     |(9,100,50)
191 |DarkOliveGreen1  |#d7ff5f  |(215,255,95)    |(75,100,68)
192 |DarkOliveGreen1  |#d7ff87  |(215,255,135)   |(80,100,76)
193 |DarkSeaGreen1    |#d7ffaf  |(215,255,175)   |(90,100,84)
194 |Honeydew2        |#d7ffd7  |(215,255,215)   |(120,100,92)
195 |LightCyan1       |#d7ffff  |(215,255,255)   |(180,100,92)
196 |Red1             |#ff0000  |(255,0,0)       |(0,100,50)
197 |DeepPink2        |#ff005f  |(255,0,95)      |(37,100,50)
198 |DeepPink1        |#ff0087  |(255,0,135)     |(28,100,50)
199 |DeepPink1        |#ff00af  |(255,0,175)     |(18,100,50)
200 |Magenta2         |#ff00d7  |(255,0,215)     |(9,100,50)
201 |Magenta1         |#ff00ff  |(255,0,255)     |(300,100,50)
202 |OrangeRed1       |#ff5f00  |(255,95,0)      |(2,100,50)
203 |IndianRed1       |#ff5f5f  |(255,95,95)     |(0,100,68)
204 |IndianRed1       |#ff5f87  |(255,95,135)    |(345,100,68)
205 |HotPink          |#ff5faf  |(255,95,175)    |(330,100,68)
206 |HotPink          |#ff5fd7  |(255,95,215)    |(315,100,68)
207 |MediumOrchid1    |#ff5fff  |(255,95,255)    |(300,100,68)
208 |DarkOrange       |#ff8700  |(255,135,0)     |(1,100,50)
209 |Salmon1          |#ff875f  |(255,135,95)    |(15,100,68)
210 |LightCoral       |#ff8787  |(255,135,135)   |(0,100,76)
211 |PaleVioletRed1   |#ff87af  |(255,135,175)   |(340,100,76)
212 |Orchid2          |#ff87d7  |(255,135,215)   |(320,100,76)
213 |Orchid1          |#ff87ff  |(255,135,255)   |(300,100,76)
214 |Orange1          |#ffaf00  |(255,175,0)     |(1,100,50)
215 |SandyBrown       |#ffaf5f  |(255,175,95)    |(30,100,68)
216 |LightSalmon1     |#ffaf87  |(255,175,135)   |(20,100,76)
217 |LightPink1       |#ffafaf  |(255,175,175)   |(0,100,84)
218 |Pink1            |#ffafd7  |(255,175,215)   |(330,100,84)
219 |Plum1            |#ffafff  |(255,175,255)   |(300,100,84)
220 |Gold1            |#ffd700  |(255,215,0)     |(0,100,50)
221 |LightGoldenrod2  |#ffd75f  |(255,215,95)    |(45,100,68)
222 |LightGoldenrod2  |#ffd787  |(255,215,135)   |(40,100,76)
223 |NavajoWhite1     |#ffd7af  |(255,215,175)   |(30,100,84)
224 |MistyRose1       |#ffd7d7  |(255,215,215)   |(0,100,92)
225 |Thistle1         |#ffd7ff  |(255,215,255)   |(300,100,92)
226 |Yellow1          |#ffff00  |(255,255,0)     |(60,100,50)
227 |LightGoldenrod1  |#ffff5f  |(255,255,95)    |(60,100,68)
228 |Khaki1           |#ffff87  |(255,255,135)   |(60,100,76)
229 |Wheat1           |#ffffaf  |(255,255,175)   |(60,100,84)
230 |Cornsilk1        |#ffffd7  |(255,255,215)   |(60,100,92)
231 |Grey100          |#ffffff  |(255,255,255)   |(0,0,100)
232 |Grey3            |#080808  |(8,8,8)         |(0,0,3)
233 |Grey7            |#121212  |(18,18,18)      |(0,0,7)
234 |Grey11           |#1c1c1c  |(28,28,28)      |(0,0,10)
235 |Grey15           |#262626  |(38,38,38)      |(0,0,14)
236 |Grey19           |#303030  |(48,48,48)      |(0,0,18)
237 |Grey23           |#3a3a3a  |(58,58,58)      |(0,0,22)
238 |Grey27           |#444444  |(68,68,68)      |(0,0,26)
239 |Grey30           |#4e4e4e  |(78,78,78)      |(0,0,30)
240 |Grey35           |#585858  |(88,88,88)      |(0,0,34)
241 |Grey39           |#626262  |(98,98,98)      |(0,0,37)
242 |Grey42           |#6c6c6c  |(108,108,108)   |(0,0,40)
243 |Grey46           |#767676  |(118,118,118)   |(0,0,46)
